word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
other,-0.08667320919325933,0.05117890595002102,20,-0.062010100886234314,-0.27340817208930585,0.21139807120307152
take,0.08657487855088239,2.7755575615628914e-17,13,0.08657487855088236,0.08657487855088236,0.0
first,-0.08647380112500365,0.02865460841557587,12,-0.07365907066783062,-0.15054745341086884,0.07688838274303822
thanks,-0.08584317890528655,0.0275369285249346,7,-0.0746012749103564,-0.15329460287486735,0.07869332796451095
were,-0.08579645137257316,0.021532414938418246,16,-0.08023680574189838,-0.16919113583269482,0.08895433009079644
nazi,-0.0856735599732648,0.0,6,-0.0856735599732648,-0.0856735599732648,0.0
ever,0.08551487976576652,0.02913624523535486,10,0.14378737023647625,0.0709467571480891,0.07284061308838716
mother,-0.08480164361232208,0.11633945359776895,7,-0.009339228494928613,-0.2840224195222408,0.27468319102731215
idiot,0.08451606592963568,0.025340944270099156,8,0.15156190245586523,0.07493808928303144,0.07662381317283379
used,0.0843744947791692,0.0,6,0.0843744947791692,0.0843744947791692,0.0
shit,0.08432663785133566,0.021587056043448752,13,0.1591063935575157,0.07809499154248734,0.08101140201502838
never,0.08418587969740274,0.03026749578834091,11,0.13361249334625214,0.06565089957908421,0.06796159376716793
discussion,-0.08318170762755348,0.06219238282183244,8,-0.059675196429111454,-0.24772728601664756,0.1880520895875361
block,-0.08242497103176061,0.03778438504196598,17,-0.06293916227720726,-0.19544266180816994,0.1325034995309627
then,0.08167941992430541,0.02083918317911394,14,0.15681616341538737,0.0758996704249914,0.08091649299039597
related,0.081031727997877,0.0,5,0.081031727997877,0.081031727997877,0.0
dont,0.07979265050123122,0.02034819268826836,13,0.15028085765779592,0.07391863323818418,0.07636222441961174
few,0.07933927500251782,1.3877787807814457e-17,6,0.07933927500251783,0.07933927500251783,0.0
just,-0.07776390455399339,0.027783747978782417,39,-0.06591687460975307,-0.14292256924731508,0.07700569463756202
down,0.07746900111609036,0.020443635390332233,12,0.14527286905665324,0.07130501312149375,0.07396785593515949
over,-0.07707067545869117,0.039591100406861895,10,-0.0638736419897372,-0.19584397667927686,0.13197033468953967
seriously,0.07652728353149287,0.0,5,0.07652728353149287,0.07652728353149287,0.0
though,-0.07538605782243003,0.0,8,-0.07538605782243003,-0.07538605782243003,0.0
bad,0.07504692437565251,0.0,5,0.07504692437565251,0.07504692437565251,0.0
provided,-0.07401713423184446,0.0382486603902948,6,-0.04897750830767515,-0.14913601200435236,0.10015850369667721
we,-0.07391409844528674,0.02921484828790273,19,-0.051600889495959174,-0.11216531378699109,0.06056442429103191
notable,-0.07388848354393833,0.03325295809922952,9,-0.04096973451087008,-0.12561794631018844,0.08464821179931836
said,0.07306677632896988,0.02116158632875499,9,0.13292078110387864,0.06558502573210628,0.06733575537177236
seen,0.07137152688141099,2.7755575615628914e-17,13,0.07137152688141096,0.07137152688141096,0.0
deleting,0.06998267529230763,0.0,5,0.06998267529230763,0.06998267529230763,0.0
see,0.06996525246419012,0.028369867926352526,26,0.19634011868157863,0.06222801575700307,0.13411210292457557
already,-0.06996390389691018,0.02105403667680245,8,-0.062006226019645595,-0.12566764903776223,0.06366142301811664
five,0.06944338393555131,0.0,5,0.06944338393555131,0.06944338393555131,0.0
policy,0.067907438282389,0.03888081789674836,6,0.12289321826812909,0.04041454828951896,0.08247866997861013
an,-0.0679043596748055,0.04630016275059223,72,-0.04515691912524393,-0.2791305933493058,0.23397367422406185
